Tokens,Sentiment_score,Sentiment_emotion,Part_of_speech
"['agreed', '😏']",1,Joy,ADJ
"['i', 'like', 'red', 'dawn', '.', 'cold', 'war', 'era', 'i', 'am', 'lol', '😂']",1,Joy,VERB
"['how', 'does', 'all', 'all', 'that', 'opera', ',', 'theatre', ',', 'dance', 'and', 'music', 'squeeze', 'into', 'a', 'box', 'like', 'this', '?', '!', '🤔', 'we', ""can't"", 'wait', 'to', 'share', 'the', '2018']",-1,Disgust,ADJ
"[""can't"", 'make', 'a', 'come', 'back', 'but', 'his', 'debut', 'album', 'was', '🔥']",1,Joy,ADJ
"['asstray', '💙']",1,Love,ADJ
"['that', 'is', 'so', 'nice', '!', 'it', 'was', 'lovely', 'to', 'meet', 'you', '!', '😽']",1,Love,VERB
"['please', '!', '!', '🙏']",-1,Anger,VERB
"['big', 'time', 'shannon', '!', ':)', '👍']",1,Joy,ADJ
"['vote', '🗳', 'fulfulde', 'translation', '.', 'thanks', 'to', 'the', 'translation', 'team', 'for', 'making', 'this', 'happen', '.', 'great', 'citizens', ',', 'great', 'team', '!']",1,Joy,NOUN
"['u', 'know', '💘']",1,Love,NOUN
"['braving', 'the', 'weather', '😀']",1,Joy,VERB
"['another', 'pair', 'for', 'the', 'collection', '😬']",-1,Disgust,ADJ
"['good', 'thread', '.', 'mudah', 'faham', '.', 'thank', 'you', 'girl', '😘']",1,Love,VERB
"['fuck', '!', 'i', 'thought', 'i', 'was', 'past', 'these', 'nightmares', '.', '😔']",-1,sadness,ADJ
"['we', '‘', 're', 'still', 'live', '!', '😏']",1,Joy,ADJ
"['russia', 'has', 'more', 'free', 'speech', 'than', 'the', 'us', '.', 'can', 'you', 'imagine', 'us', 'media', 'talking', 'about', 'jews', 'like', 'this', '?', '😅']",1,Joy,ADJ
"['[', 'pic', ']', '180303', 'eℓyxion', 'in', 'singapore', '©', 'arashi_icy', '(', 'd', '.', 'o', '.', ')']",0,Surprise,PUNCT
"['leah', ',', 'sf', 'bay', 'area', 'is', 'being', 'blasted', 'by', 'scientology', 'recently', '.', 'scared', 'for', 'impressionable', 'young', 'people', '😬', 'please', '…']",-1,Fear,ADJ
"['sometimes', 'i', 'am', 'really', 'proud', 'of', 'my', 'mother', 'she', 'gets', 'things', 'done', 'despite', 'the', 'obstacles', 'she', 'confronts', 'due', 'to', 'aging', '.', '💞']",1,Love,NOUN
"['short-game', 'has', 'been', 'on', 'point', 'at', 'bay', 'hill', '.', '💯']",1,Joy,ADJ
"['mindless', '4miles', '125', '❤', '️s', '!', 'your', 'tweet', 'has', 'been', 'liked', 'by', '125', 'people', '.']",1,Love,NOUN
"['tug', 'on', 'my', 'heart', 'strings', 'will', 'ya', '?', '😹']",1,Joy,VERB
"['a', 'jealous', 'girlfriend', 'can', 'also', 'cheat', 'and', 'still', 'be', 'jealous', 'and', 'act', 'like', 'she', 'faithful', '😂']",1,Joy,VERB
"['i', '’', 've', 'only', 'ever', 'tried', 'latte', '-', 'both', 'hot', 'and', 'cold', '!', 'it', '’', 's', 'good', '😊']",1,Joy,ADJ
"['i', '’', 've', 'realized', 'the', 'only', 'way', 'i', 'make', 'friends', 'in', 'my', 'classes', 'is', 'bonding', 'over', 'the', 'fact', 'that', 'we', 'want', 'to', 'drop', 'out', 'of', 'college', '😂']",1,Joy,VERB
"['chris', 'brown', '-', 'say', 'goodbye', '.', 'this', 'will', 'never', 'ever', 'ever', 'get', 'old', '😭']",-1,Sadness,VERB
"['this', 'was', 'my', 'favorite', 'childhood', 'movie', '😭']",-1,Sadness,VERB
"['🤔', 'pastor', 'kayanja', 'in', 'kampala', 'has', 'awoken', 'two', 'people', 'from', 'the', 'mulago', 'mortuary', 'today', 'at', 'mulago', '.', 'the', 'two', 'ar', '…']",-1,Disgust,ADJ
"['why', 'you', 'ain', '’', 't', 'build', 'my', 'damn', 'teleportation', 'machine', 'yet', '!', '!', '!', '💔']",-1,Sadness,NOUN
"['sneakershouts', ':', 'flash', 'sale', '⚡', '️', '40', '%', 'off', '+', 'free', 'shipping', 'on', 'the', 'nike', 'pg', '1', '""', 'black', 'gum', '""', 'buy', 'here', ':', '…']",1,Joy,PUNCT
"['“', 'ashley', 'will', 'you', 'go', 'to', 'prom', 'with', 'me', '?', '”', 'hehe', 'i', 'got', 'asked', 'to', 'prom', 'today', '!', 'all', 'i', 'can', 'say', 'is', 'that', 'i', 'loved', 'it', '!', '💗', 'than', '…']",1,Love,NOUN
"['match', 'off', 'unsurprisingly', ""today's"", 'match', 'is', 'off', 'due', 'to', 'a', 'frozen', 'and', 'snow', 'covered', 'pitch', '☹', '️']",-1,sadness,ADJ
"['morning', 'elena', '🌹', 'xx']",1,Love,NOUN
"['sexy', 'dance', '!', '!', '💕']",1,Love,ADJ
"['and', 'that', 'is', 'called', ""'"", 'sexual', 'harassment', ""'"", 'sisi', '😩']",-1,Sadness,VERB
"['these', 'niggas', 'haven', '’', 't', 'gotten', 'tired', 'of', 'clout', 'chasing', 'yet', '?', '😔']",-1,Sadness,ADJ
"['in', 'time', ',', 'tho', '.', '👇']",0,Surprise,ADP
"['imagine', 'lapis', 'sings', 'this', 'to', 'peri', '😏']",1,Joy,ADJ
"['imagine', 'watching', 'that', 'during', 'ramadan', '😭']",-1,Sadness,VERB
"['🤔', 'close', 'enough', '...']",-1,Disgust,ADJ
"['follow', 'everyone', 'who', 'retweets', 'this', '📢', '<', '>', '>', '<']",0,Surprise,NOUN
"[""i'm"", 'tired', 'asfff', '😭']",-1,Sadness,VERB
"['niggas', 'all', 'this', 'freeband', 'but', 'still', 'onna', 'bus', '🤨']",-1,Disgust,ADJ
